timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1534604400,Aug 18 2018 - 3:00pm,complete,19003,Guingamp,PSG,Clément Turpin,2,0.00,0.00,0.84,2.00,1,3,4,1,1,0,"20","53,82,90",4,7,0,0,1,0,0,0,1,0,8,15,4,8,4,7,15,16,34,66,1.09,1.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.99,6.59,1.25,1.11,1.40,2.00,3.25,1.87,1.80,Stade du Roudourou (Guingamp)
1534615200,Aug 18 2018 - 6:00pm,complete,10402,Amiens SC,Montpellier,Karim Abed,2,0.00,0.00,1.37,1.42,1,2,3,0,0,0,"82","52,71",6,2,1,0,3,0,1,0,0,3,8,7,3,4,5,3,15,15,57,43,1.04,0.95,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.22,3.06,2.53,1.56,2.70,5.50,11.00,2.20,1.57,Stade Crédit Agricole de la Licorne (Amiens)
1534615200,Aug 18 2018 - 6:00pm,complete,16132,Caen,Nice,Eric Wattellier,2,0.00,0.00,0.89,1.16,1,1,2,0,0,0,"52","82",5,10,2,0,2,0,1,1,0,2,10,10,5,6,5,4,22,11,36,64,1.22,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.68,3.14,2.93,1.47,2.40,4.70,9.30,2.05,1.67,Stade Michel d'Ornano (Caen)
1534615200,Aug 18 2018 - 6:00pm,complete,13617,Dijon,Nantes,Jeremy Stinat,2,0.00,0.00,1.16,0.89,2,0,2,1,1,0,"8,73","",3,4,0,0,1,1,0,0,1,1,14,5,8,0,6,5,18,13,32,68,1.63,0.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.82,3.25,2.70,1.30,1.95,3.40,5.75,1.77,1.95,Stade Gaston-Gérard (Dijon)
1534615200,Aug 18 2018 - 6:00pm,complete,11140,Monaco,Lille,Thomas Léonard,2,0.00,0.00,0.95,1.68,0,0,0,0,0,0,"","",8,4,1,0,3,0,1,0,1,2,7,12,2,5,5,7,10,14,47,53,0.91,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.46,4.79,7.11,1.18,1.61,2.50,3.55,1.62,2.10,Stade Louis II (Monaco)
1534615200,Aug 18 2018 - 6:00pm,complete,19300,Rennes,Angers SCO,Olivier Thual,2,0.00,0.00,1.63,1.16,1,0,1,0,0,0,"81","",3,0,1,0,2,0,0,1,1,1,5,7,3,0,2,7,8,11,58,42,1.01,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.43,4.74,1.43,2.30,4.40,8.40,2.10,1.65,Roazhon Park (Rennes)
1534683600,Aug 19 2018 - 1:00pm,complete,25385,Strasbourg,Saint-Étienne,Benoît Millot,2,0.00,0.00,1.37,1.32,1,1,2,0,0,0,"55","88",7,2,1,0,2,1,1,0,1,2,12,8,6,3,6,5,11,7,58,42,1.68,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.01,3.22,2.56,1.36,2.10,3.90,8.40,1.87,1.83,Stade de la Meinau (Strasbourg)
1534690800,Aug 19 2018 - 3:00pm,complete,15387,Toulouse,Bordeaux,François Letexier,2,0.00,0.00,1.11,0.74,2,1,3,1,1,0,"44,67","50",1,2,1,0,1,0,0,1,0,1,13,15,6,9,7,6,10,11,51,49,1.51,1.84,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.57,3.21,3.01,1.44,2.35,4.55,9.20,2.00,1.69,Stadium de Toulouse (Toulouse)
1534705200,Aug 19 2018 - 7:00pm,complete,15285,Nîmes,Olympique Marseille,Benoît Bastien,2,0.00,0.00,1.68,1.26,3,1,4,1,1,0,"34,62,86","49",6,7,3,0,1,0,1,2,0,1,12,11,8,7,4,4,11,11,38,62,1.66,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.32,3.87,1.84,1.18,1.61,2.50,4.50,1.62,2.15,Stade des Costières (Nîmes)
1535136300,Aug 24 2018 - 6:45pm,complete,47341,Olympique Lyonnais,Strasbourg,Amaury Delerue,3,3.00,3.00,2.11,1.21,2,0,2,1,1,0,"42,64","",5,4,1,0,2,0,1,0,2,0,17,8,11,2,6,6,13,13,60,40,2.19,0.88,2.00,0,100,0,0,0,0,50,50,100,20.00,0.00,1.28,6.11,9.99,1.18,1.61,2.50,4.15,1.83,1.87,Groupama Stadium (Décines-Charpieu)
1535209200,Aug 25 2018 - 3:00pm,complete,47105,PSG,Angers SCO,Jérôme Miguelgorry,3,3.00,0.00,2.79,1.16,3,1,4,2,1,1,"12,51,66","21",9,1,2,0,0,0,1,1,0,0,11,10,6,7,5,3,10,2,59,41,1.39,1.29,2.00,0,50,50,0,0,50,50,0,100,6.00,3.00,1.09,9.99,9.99,1.06,1.24,1.62,2.61,1.95,1.77,Parc des Princes (Paris)
1535220000,Aug 25 2018 - 6:00pm,complete,10709,Amiens SC,Reims,Florent Batta,3,0.00,3.00,1.37,1.26,4,1,5,1,1,0,"22,58,67,73","84",4,2,1,0,1,1,1,0,2,0,13,8,9,4,4,4,18,17,57,43,1.83,0.96,2.00,50,50,50,0,0,0,50,50,50,8.00,3.00,2.61,3.15,3.01,1.49,2.50,4.90,9.70,2.10,1.65,Stade Crédit Agricole de la Licorne (Amiens)
1535220000,Aug 25 2018 - 6:00pm,complete,14777,Montpellier,Saint-Étienne,Jérôme Brisard,3,0.00,1.00,1.68,1.32,0,0,0,0,0,0,"","",6,3,3,0,0,0,0,3,0,0,10,7,2,3,8,4,12,14,45,55,1.09,1.00,2.50,100,100,50,0,0,0,50,100,100,6.00,6.00,2.32,3.23,3.42,1.45,2.40,4.60,9.50,2.05,1.67,Stade de la Mosson (Montpellier)
1535220000,Aug 25 2018 - 6:00pm,complete,19674,Nantes,Caen,Hakim Ben El Hadj,3,0.00,0.00,1.63,0.84,1,1,2,1,0,1,"80","37",3,1,2,0,2,1,1,1,1,2,12,4,4,3,8,1,16,16,65,35,1.58,0.72,3.50,50,100,100,50,0,50,50,50,100,10.00,1.00,1.90,3.41,4.66,1.49,2.50,4.90,10.50,2.20,1.57,Stade de la Beaujoire - Louis Fonteneau (Nantes)
1535220000,Aug 25 2018 - 6:00pm,complete,17923,Nice,Dijon,Willy Delajod,3,0.00,3.00,1.79,0.63,0,4,4,0,0,0,"","67,83,86,90'3",5,3,2,0,3,0,0,2,2,1,16,10,4,6,12,4,11,19,55,45,1.72,1.34,2.00,50,50,50,0,0,0,100,50,50,12.00,3.00,1.75,3.83,4.96,1.26,1.83,3.10,7.00,1.74,1.95,Allianz Riviera (Nice)
